programdescription
"The Cultural Allianceâ€™s work falls into two primary pillars: awareness & access and audience engagement. Access broadens the vision of what the arts do for the community and make sure support for the sector is as efficient and effective as possible. Through audience engagement, the Alliance serves as a critical connector between the arts and the general public to broaden cultural participation and to maximize the earned revenue that partially sustains these activities."
"The Unity Performing Arts programming is focused on the goal of developing young people in the areas of character, artistry, and leadership. UNITY's  innovative approach showcases non-traditional soulful art forms that bring cultural relevance to the community and diversity among artists, artistry and audiences. Embedded within all UNITY programming are experiences to develop natural talents, enhance social-emotional skills, build character, and develop leadership and 21st Century skills."
"ChiS&E  provides a rigorous  4 week  summer enrichment curriculum with intentional connections between algebraic/calculus concepts and skills students need into computer science and engineering courses through promoting 21st century skills, innovative technology use, and lifelong learning. The Raspberry Pi curriculum encourages students to become familiar with basic computer programming and apply coding techniques and skills to design a final product: Python, C/c++, Java."
CodePath.org offers a three-part program that reinforces fundamentals to better prepare students for the technical interview as well as job performance. Students complete an assessment that gauges their technical mastery levels and job application readiness and matches them to their appropriate course level along with a personalized action plan.\\This programâ€™s goal is to improve student interview preparedness by an average of 20% year over year and bridge the CS Fundamentals gap.
"The Baltimore Educational Scholarship Trust, in partnership with our eighteen independent member schools, recruits and supports through the admissions process academically talented African American students with financial need from the Baltimore area. Once students are enrolled, B.E.S.T. positions them for success through academic preparation, leadership development, and support programs."
"Y.O.U.'s Out-of-School Time (OST) Program provides free, high-quality learning, social-emotional enrichment, and trauma-informed support services for 1,000 youth each year across 11 schools in Evanston and Niles Townships.\\The OST Program offers a â€œhigh expectations, high supportâ€ pathway to post-secondary and life success. Y.O.U.'s model helps youth to grow in four areas: skills and knowledge, self-regulation, mindsets, and values."
"We are a pro bono legal services agency dedicated to helping low-income people in Northeast Indiana. Founded in 2002, we provide equal access to the civil justice system for disadvantaged residents by facilitating direct referrals to attorney volunteers who represent individuals without charge in a wide variety of civil legal matters."
"Cedars Hope is a permanent, supported housing program for homeless women facing chronic and severe mental illness. Residents live in a group style setting and receive person-centered support in order to build skills, self-confidence, and self-reliance, with the ultimate goal of living independently again. Supportive services include case management, advocacy, goal-setting, transportation, and additional aftercare support up to 6 months after moving out. Cedars Hope can house up to 16 residents at a time."
"Junior Achievement's programs center on the pillars of financial literacy, entrepreneurship and work readiness.  Junior Achievement helps K-12 grade students connect education with their future success. Programs are delivered by volunteers in schools over a 5-8 week depending on grade level."
"Prepped! enables underserved, low income, and first-generation college-bound youth to build a path toward career success through tailored career readiness training, paid work experience, and college- and career-counseling. Prepped! helps more than 300 teens annually to learn critical employment skills and develop the tools they need to graduate from the program confident and prepared to enter the workforce."
"Rapid Rehousing is HUD model program and the National Alliance to End Homelessness reports it is effective in helping people to quickly exit homelessness, prevent persons from returning to homelessness, increase people's self-sufficiency, and is more cost-effective than other methods such as shelter. Fast Track involves a thorough assessment, intensive housing-focused case management, and temporary financial assistance including rent, utilities, and moving costs. The program is designed to provide the minimum necessary for housing stability."
"Per Scholas Newark prepares un/underrepresented individuals for thriving careers in tech through a variety of training tracks that lead to industry-recognized credentials in fields like Software Engineering, IT Support, Cybersecurity and AWS. The cohort-based, boot camp-style training tracks are offered full-time for 12-15 weeks on a rolling basis and lead to potential employment opportunities with partnering employers facilitated by a dedicated Business Solutions team member."
"The Economic Empowerment Program of New Hampshire support the growth and development of economic justice initiatives statewide to survivors of domestic and sexual violence.  Advocates at the 13 crisis centers administer financial literacy programming to survivors in one-to-one and in workshop settings.  The program provides an asset-based tool, a matched savings program, to survivors who participate in financial literacy programming."
"In 2015, the Academy launched a virtual program for the worldâ€™s brightest and most STEM-motivated students aged 13-17 â€“ The Junior Academy. It is a passionate community of problem solvers made up of talented students, STEM experts, and companies around the world dedicated to designing innovative solutions to global challenges. Throughout the program, students apply their STEM and 21st century skills to solve real-world problems related to the United Nations Sustainable Development Goals. "
"Big Brothers Big Sisters of Central Ohio provides children with positive mentoring relationships that help youth develop trust, build their self-confidence and increase their social-emotional skills. \\* Community-based Mentoring matches caring adult Big Brothers or Big Sisters in individual mentoring relationships with children in need of adult friendship and guidance.  \\* School-based Mentoring matches positive adults in individual mentoring relationships with children at more than thirty schools around central Ohio."
"YMCA START is a research-based, structured, educational enrichment after-school program for students in grades K-5 that utilizes prescribed dosages of educational components and meets strict fidelity markers. Y-START fills a critical need within the city of Manchester as it is specifically designed to provide a safe, enriching program for over 140 low-income children living in a neighborhood where they can be touched by violence and/or drugs on a daily basis."
"The CT YOUTH Forum (CYF), a program of The CT Forum, reduces racial/socio-economic isolation, breaks stereotypes and provides experiential learning for hundreds of high school youth from 35 schools all over CT who meet throughout the year for issue-focused discussion and activities that include youth planning and participating in large and small group issue-focused discussions, held monthly in member schools, facilitated by students and CYF staff."
"The Literacy Initiative engages youth in multi-sensory instruction and enrichment after school using techniques incorporating auditory, visual, and kinesthetic learning to boost phonemic awareness, phonics, fluency, comprehension, and vocabulary. Through this program, participants take part in encoding and decoding practice while working towards independent reading and writing. As a result of participation, we expect participants to increase their basic literacy skills, build confidence, and develop into life-long learners."
"The YMCA Achievers Program is data-driven and strategically designed to develop individual talents and leadership skills, and prepare teens for life beyond high school. With a focus on 8th-12th graders, our goal is to support high school graduation, prepare teens for college and begin exploring career possibilities. Example activities: Career Exploration; Leadership; Mentoring; Cultural Enrichment; SAT Preparation; College Tours; Teen Summit"
"Through the Senior Year Success Series program, Embarc provides high school seniors with high-impact experiential learning experiences. Throughout the year, experiences include: overnight college trips, career fairs, financial literacy workshops and post-graduation preparation. The Senior Year Success Series aims to equip students with the skills and resources needed for postsecondary success and to realize all that is possible in their bright futures."
"In summer 2019, BellXcel will deliver our education program to 300 Baltimore scholars, grades K-5, at 3 community schools. For 6 hours a day, 5 days per week, over 5 weeks, scholars will grow literacy, math, social, and emotional skills through daily academic instruction, 21st Century enrichment courses, community time, community guest speakers, and field trips. We aim to: a) help scholars achieve on average at least one month of academic skills, b) strengthen self-confidence for 75% of scholars, and c) increase engagement for 75% of parents."
"The Foundationâ€™s core financial aid program provides interest-free, fee-free loans and outright grants to students for post-secondary education. The Foundation provides funding to qualified low-income students who are pursuing graduate, bachelors, associate, and technical degrees at accredited educational institutions throughout the United States. Every student funded by the Foundation is assigned to a Student Advisor who monitors their progress and provides support as needed throughout their college experience."
"Working on Womanhood (WOW) is a multifaceted school year long group counseling and therapeutic mentoring program that works to improve the social emotional and behavioral competencies for 7-12th grade girls exposed to traumatic stressors and/or with emotion regulation challenges. WOW participants increase their school engagement and achievement, decrease aggression, and improve their psychological well-being."
"Working on Womanhood (WOW) is a multifaceted school year long group counseling and therapeutic mentoring program that works to improve the social emotional and behavioral competencies for 7-12th grade girls exposed to traumatic stressors and/or with emotion regulation challenges. WOW participants increase their school engagement and achievement, decrease aggression, and improve their psychological well-being."
"Family Promise of Greater Orlando is partner in a collaborative rapid rehousing project for families experiencing homelessness within Orange County, Florida.  Family Promise provides housing stability case management services to help homeless families who qualify for rapid rehousing rental assistance identify, rent, set up and maintain stable housing."
"Leadership Academy is an intensive year-long professional learning program that offers arts educators an opportunity to collaborate with a close network of peers who are devoted to becoming leaders in their schools and organizations. Participants deeply explore issues of leadership and child-centered learning--with a special focus on culturally relevant arts education--through facilitated discussions, activities, and arts experiences and developing and carrying out a self-directed action plan related to their professional goals."
